,smoking_status
518,Non-Smoker
519,Non-Smoker
520,Non-Smoker
521,Non-Smoker
522,Non-Smoker
523,Smoker
524,Smoker
525,Non-Smoker
526,Non-Smoker
527,Non-Smoker
528,Non-Smoker
529,Non-Smoker
530,Non-Smoker
531,Smoker
532,Non-Smoker
533,Non-Smoker
534,Non-Smoker
535,Smoker
536,Non-Smoker
537,Non-Smoker
538,Non-Smoker
539,Non-Smoker
540,Smoker
541,Non-Smoker
542,Non-Smoker
543,Non-Smoker
544,Non-Smoker
545,Non-Smoker
546,Non-Smoker
547,Non-Smoker
548,Non-Smoker
549,Non-Smoker
550,Non-Smoker
551,Non-Smoker
552,Non-Smoker
553,Non-Smoker
554,Smoker
555,Non-Smoker
556,Non-Smoker
557,Non-Smoker
558,Non-Smoker
559,Non-Smoker
560,Non-Smoker
561,Smoker
562,Non-Smoker
563,Non-Smoker
564,Non-Smoker
565,Smoker
566,Non-Smoker
567,Non-Smoker
568,Non-Smoker
569,Non-Smoker
570,Non-Smoker
571,Non-Smoker
572,Non-Smoker
573,Non-Smoker
574,Non-Smoker
575,Non-Smoker
576,Non-Smoker
577,Non-Smoker
578,Non-Smoker
579,Non-Smoker
580,Non-Smoker
581,Non-Smoker
582,Smoker
583,Non-Smoker
584,Smoker
585,Non-Smoker
586,Non-Smoker
587,Non-Smoker
588,Non-Smoker
589,Non-Smoker
590,Smoker
591,Non-Smoker
592,Non-Smoker
593,Non-Smoker
594,Non-Smoker
595,Non-Smoker
596,Non-Smoker
597,Non-Smoker
598,Non-Smoker
599,Smoker
600,Non-Smoker
601,Non-Smoker
602,Non-Smoker
603,Non-Smoker
604,Non-Smoker
605,Smoker
606,Non-Smoker
607,Non-Smoker
608,Non-Smoker
609,Non-Smoker
610,Non-Smoker
611,Non-Smoker
612,Non-Smoker
613,Non-Smoker
614,Non-Smoker
615,Non-Smoker
616,Non-Smoker
617,Non-Smoker
618,Non-Smoker
619,Non-Smoker
620,Non-Smoker
621,Non-Smoker
622,Non-Smoker
623,Non-Smoker
624,Non-Smoker
625,Non-Smoker
626,Non-Smoker
627,Non-Smoker
628,Non-Smoker
629,Non-Smoker
630,Non-Smoker
631,Smoker
632,Non-Smoker
633,Non-Smoker
634,Non-Smoker
635,Non-Smoker
636,Non-Smoker
637,Non-Smoker
638,Non-Smoker
639,Non-Smoker
640,Non-Smoker
641,Non-Smoker
642,Non-Smoker
643,Smoker
644,Non-Smoker
645,Non-Smoker
646,Non-Smoker
647,Non-Smoker
648,Non-Smoker
649,Non-Smoker
650,Non-Smoker
651,Smoker
652,Non-Smoker
653,Non-Smoker
654,Non-Smoker
655,Non-Smoker
656,Non-Smoker
657,Non-Smoker
658,Non-Smoker
659,Non-Smoker
660,Non-Smoker
661,Non-Smoker
662,Non-Smoker
663,Non-Smoker
664,Non-Smoker
665,Non-Smoker
666,Smoker
667,Smoker
668,Non-Smoker
669,Non-Smoker
670,Non-Smoker
671,Non-Smoker
672,Non-Smoker
673,Smoker
674,Non-Smoker
675,Smoker
676,Non-Smoker
677,Non-Smoker
678,Non-Smoker
679,Non-Smoker
680,Non-Smoker
681,Smoker
682,Non-Smoker
683,Non-Smoker
684,Smoker
685,Non-Smoker
686,Non-Smoker
687,Non-Smoker
688,Non-Smoker
689,Non-Smoker
690,Non-Smoker
691,Non-Smoker
692,Non-Smoker
693,Non-Smoker
694,Non-Smoker
695,Non-Smoker
696,Non-Smoker
697,Non-Smoker
698,Smoker
699,Non-Smoker
700,Non-Smoker
701,Non-Smoker
702,Non-Smoker
703,Non-Smoker
704,Non-Smoker
705,Non-Smoker
706,Non-Smoker
707,Non-Smoker
708,Non-Smoker
709,Non-Smoker
710,Non-Smoker
711,Non-Smoker
712,Non-Smoker
713,Smoker
714,Non-Smoker
715,Non-Smoker
716,Non-Smoker
717,Non-Smoker
718,Non-Smoker
719,Non-Smoker
720,Non-Smoker
721,Non-Smoker
722,Non-Smoker
723,Non-Smoker
724,Non-Smoker
725,Non-Smoker
726,Non-Smoker
727,Non-Smoker
728,Non-Smoker
729,Non-Smoker
730,Non-Smoker
731,Smoker
732,Non-Smoker
733,Smoker
734,Non-Smoker
735,Non-Smoker
736,Non-Smoker
737,Smoker
738,Non-Smoker
739,Non-Smoker
740,Non-Smoker
741,Non-Smoker
742,Non-Smoker
743,Non-Smoker
744,Non-Smoker
745,Non-Smoker
746,Smoker
747,Smoker
748,Non-Smoker
749,Non-Smoker
750,Smoker
751,Non-Smoker
752,Non-Smoker
753,Non-Smoker
754,Non-Smoker
755,Non-Smoker
756,Non-Smoker
757,Non-Smoker
758,Non-Smoker
759,Non-Smoker
760,Non-Smoker
761,Non-Smoker
762,Non-Smoker
763,Non-Smoker
764,Non-Smoker
765,Non-Smoker
766,Non-Smoker
767,Smoker
768,Smoker
769,Non-Smoker
770,Non-Smoker
771,Non-Smoker
772,Non-Smoker
773,Non-Smoker
774,Non-Smoker
775,Non-Smoker
776,Non-Smoker
777,Non-Smoker
778,Non-Smoker
779,Non-Smoker
780,Non-Smoker
781,Non-Smoker
782,Non-Smoker
783,Non-Smoker
784,Non-Smoker
785,Non-Smoker
786,Non-Smoker
787,Non-Smoker
788,Non-Smoker
789,Non-Smoker
790,Non-Smoker
791,Non-Smoker
792,Smoker
793,Non-Smoker
794,Non-Smoker
795,Non-Smoker
796,Non-Smoker
797,Non-Smoker
798,Non-Smoker
799,Non-Smoker
800,Non-Smoker
801,Non-Smoker
802,Non-Smoker
803,Smoker
804,Non-Smoker
805,Non-Smoker
806,Non-Smoker
807,Non-Smoker
808,Smoker
809,Non-Smoker
810,Non-Smoker
811,Non-Smoker
812,Non-Smoker
813,Non-Smoker
814,Non-Smoker
815,Non-Smoker
816,Non-Smoker
817,Non-Smoker
818,Non-Smoker
819,Non-Smoker
820,Non-Smoker
821,Non-Smoker
822,Non-Smoker
823,Non-Smoker
824,Non-Smoker
825,Non-Smoker
826,Non-Smoker
827,Non-Smoker
828,Non-Smoker
829,Non-Smoker
830,Non-Smoker
831,Non-Smoker
832,Non-Smoker
833,Non-Smoker
834,Smoker
835,Smoker
836,Non-Smoker
837,Smoker
838,Non-Smoker
839,Non-Smoker
840,Non-Smoker
841,Non-Smoker
842,Non-Smoker
843,Non-Smoker
844,Non-Smoker
845,Non-Smoker
846,Non-Smoker
847,Non-Smoker
848,Non-Smoker
849,Non-Smoker
850,Non-Smoker
851,Non-Smoker
852,Non-Smoker
853,Non-Smoker
854,Non-Smoker
855,Smoker
856,Non-Smoker
857,Non-Smoker
858,Non-Smoker
859,Non-Smoker
860,Non-Smoker
861,Non-Smoker
862,Smoker
863,Non-Smoker
864,Non-Smoker
865,Non-Smoker
866,Non-Smoker
867,Non-Smoker
868,Non-Smoker
869,Non-Smoker
870,Non-Smoker
871,Non-Smoker
872,Non-Smoker
873,Non-Smoker
874,Non-Smoker
875,Non-Smoker
876,Non-Smoker
877,Non-Smoker
878,Non-Smoker
879,Non-Smoker
880,Non-Smoker
881,Non-Smoker
882,Non-Smoker
883,Non-Smoker
884,Smoker
885,Non-Smoker
886,Non-Smoker
887,Non-Smoker
888,Non-Smoker
889,Non-Smoker
890,Non-Smoker
891,Non-Smoker
892,Non-Smoker
893,Non-Smoker
894,Smoker
895,Non-Smoker
896,Smoker
897,Non-Smoker
898,Non-Smoker
899,Non-Smoker
900,Non-Smoker
901,Non-Smoker
902,Smoker
903,Non-Smoker
904,Non-Smoker
905,Non-Smoker
906,Non-Smoker
907,Non-Smoker
908,Non-Smoker
909,Non-Smoker
910,Non-Smoker
911,Non-Smoker
912,Non-Smoker
913,Non-Smoker
914,Non-Smoker
915,Non-Smoker
916,Non-Smoker
917,Non-Smoker
918,Smoker
919,Non-Smoker
920,Non-Smoker
921,Non-Smoker
922,Non-Smoker
923,Non-Smoker
924,Non-Smoker
925,Non-Smoker
926,Non-Smoker
927,Non-Smoker
928,Non-Smoker
929,Non-Smoker
930,Non-Smoker
931,Non-Smoker
932,Non-Smoker
933,Non-Smoker
934,Smoker
935,Non-Smoker
936,Non-Smoker
937,Non-Smoker
938,Non-Smoker
939,Non-Smoker
940,Non-Smoker
941,Non-Smoker
942,Smoker
943,Non-Smoker
944,Non-Smoker
945,Smoker
946,Non-Smoker
947,Non-Smoker
948,Non-Smoker
949,Smoker
950,Non-Smoker
951,Non-Smoker
952,Non-Smoker
953,Non-Smoker
954,Non-Smoker
955,Non-Smoker
956,Non-Smoker
957,Non-Smoker
958,Non-Smoker
959,Smoker
960,Non-Smoker
961,Non-Smoker
962,Smoker
963,Non-Smoker
964,Non-Smoker
965,Non-Smoker
966,Non-Smoker
967,Non-Smoker
968,Smoker
969,Non-Smoker
970,Non-Smoker
971,Non-Smoker
972,Non-Smoker
973,Non-Smoker
974,Non-Smoker
975,Non-Smoker
976,Non-Smoker
977,Non-Smoker
978,Non-Smoker
979,Non-Smoker
980,Non-Smoker
981,Non-Smoker
982,Non-Smoker
983,Non-Smoker
984,Non-Smoker
985,Non-Smoker
986,Non-Smoker
987,Non-Smoker
988,Non-Smoker
989,Non-Smoker
990,Non-Smoker
991,Non-Smoker
992,Non-Smoker
993,Non-Smoker
994,Non-Smoker
995,Non-Smoker
996,Non-Smoker
997,Non-Smoker
998,Non-Smoker
999,Non-Smoker
1000,Non-Smoker
1001,Non-Smoker
1002,Non-Smoker
1003,Non-Smoker
1004,Non-Smoker
1005,Non-Smoker
1006,Non-Smoker
1007,Non-Smoker
1008,Non-Smoker
1009,Non-Smoker
1010,Non-Smoker
1011,Smoker
1012,Non-Smoker
1013,Non-Smoker
1014,Non-Smoker
1015,Non-Smoker
1016,Non-Smoker
1017,Non-Smoker
1018,Non-Smoker
1019,Smoker
1020,Non-Smoker
1021,Smoker
1022,Non-Smoker
1023,Smoker
1024,Smoker
1025,Non-Smoker
1026,Non-Smoker
1027,Non-Smoker
1028,Non-Smoker
1029,Smoker
1030,Non-Smoker
1031,Non-Smoker
1032,Non-Smoker
1033,Non-Smoker
1034,Non-Smoker
1035,Non-Smoker
1036,Non-Smoker
1037,Non-Smoker
1038,Non-Smoker
1039,Non-Smoker
1040,Non-Smoker
1041,Non-Smoker
1042,Non-Smoker
1043,Non-Smoker
1044,Smoker
1045,Smoker
1046,Non-Smoker
1047,Non-Smoker
1048,Non-Smoker
1049,Non-Smoker
1050,Non-Smoker
1051,Non-Smoker
1052,Non-Smoker
1053,Non-Smoker
1054,Non-Smoker
1055,Non-Smoker
1056,Smoker
1057,Non-Smoker
1058,Non-Smoker
1059,Non-Smoker
1060,Non-Smoker
1061,Smoker
1062,Non-Smoker
1063,Non-Smoker
1064,Non-Smoker
1065,Non-Smoker
1066,Non-Smoker
1067,Non-Smoker
1068,Non-Smoker
1069,Non-Smoker
1070,Non-Smoker
1071,Non-Smoker
1072,Non-Smoker
1073,Non-Smoker
1074,Non-Smoker
1075,Non-Smoker
1076,Non-Smoker
1077,Non-Smoker
1078,Non-Smoker
1079,Smoker
1080,Smoker
1081,Non-Smoker
1082,Smoker
1083,Non-Smoker
1084,Non-Smoker
1085,Non-Smoker
1086,Non-Smoker
1087,Non-Smoker
1088,Non-Smoker
1089,Non-Smoker
1090,Non-Smoker
1091,Non-Smoker
1092,Non-Smoker
1093,Non-Smoker
1094,Non-Smoker
1095,Non-Smoker
1096,Non-Smoker
1097,Non-Smoker
1098,Non-Smoker
1099,Non-Smoker
1100,Non-Smoker
1101,Non-Smoker
1102,Non-Smoker
1103,Non-Smoker
1104,Non-Smoker
1105,Non-Smoker
1106,Non-Smoker
1107,Non-Smoker
1108,Non-Smoker
1109,Smoker
1110,Non-Smoker
1111,Non-Smoker
1112,Non-Smoker
1113,Non-Smoker
1114,Non-Smoker
1115,Non-Smoker
1116,Non-Smoker
1117,Non-Smoker
1118,Non-Smoker
1119,Non-Smoker
1120,Non-Smoker
1121,Non-Smoker
1122,Non-Smoker
1123,Non-Smoker
1124,Non-Smoker
1125,Non-Smoker
1126,Non-Smoker
1127,Non-Smoker
1128,Non-Smoker
1129,Non-Smoker
1130,Non-Smoker
1131,Non-Smoker
1132,Non-Smoker
1133,Non-Smoker
1134,Non-Smoker
1135,Non-Smoker
1136,Non-Smoker
1137,Non-Smoker
1138,Non-Smoker
1139,Non-Smoker
1140,Non-Smoker
1141,Non-Smoker
1142,Smoker
1143,Non-Smoker
1144,Non-Smoker
1145,Non-Smoker
1146,Non-Smoker
1147,Non-Smoker
1148,Non-Smoker
1149,Non-Smoker
1150,Non-Smoker
1151,Non-Smoker
1152,Non-Smoker
1153,Non-Smoker
1154,Non-Smoker
1155,Non-Smoker
1156,Non-Smoker
1157,Non-Smoker
1158,Non-Smoker
1159,Non-Smoker
1160,Non-Smoker
1161,Non-Smoker
1162,Non-Smoker
1163,Non-Smoker
1164,Non-Smoker
1165,Non-Smoker
1166,Non-Smoker
1167,Non-Smoker
1168,Non-Smoker
1169,Non-Smoker
1170,Non-Smoker
1171,Non-Smoker
1172,Non-Smoker
1173,Non-Smoker
1174,Non-Smoker
1175,Non-Smoker
1176,Smoker
1177,Non-Smoker
1178,Non-Smoker
1179,Non-Smoker
1180,Non-Smoker
1181,Non-Smoker
1182,Non-Smoker
1183,Non-Smoker
1184,Non-Smoker
1185,Smoker
1186,Non-Smoker
1187,Non-Smoker
1188,Non-Smoker
1189,Smoker
1190,Smoker
1191,Non-Smoker
1192,Non-Smoker
1193,Non-Smoker
1194,Smoker
1195,Non-Smoker
1196,Non-Smoker
1197,Non-Smoker
1198,Non-Smoker
1199,Non-Smoker
1200,Non-Smoker
1201,Smoker
1202,Non-Smoker
1203,Non-Smoker
1204,Non-Smoker
1205,Non-Smoker
1206,Smoker
1207,Non-Smoker
1208,Non-Smoker
1209,Non-Smoker
1210,Non-Smoker
1211,Non-Smoker
1212,Smoker
1213,Non-Smoker
1214,Non-Smoker
1215,Non-Smoker
1216,Non-Smoker
1217,Non-Smoker
1218,Non-Smoker
1219,Non-Smoker
1220,Smoker
1221,Non-Smoker
1222,Non-Smoker
1223,Non-Smoker
1224,Non-Smoker
1225,Non-Smoker
1226,Non-Smoker
1227,Non-Smoker
1228,Non-Smoker
1229,Non-Smoker
1230,Non-Smoker
1231,Non-Smoker
1232,Non-Smoker
1233,Non-Smoker
1234,Non-Smoker
1235,Non-Smoker
1236,Non-Smoker
1237,Smoker
1238,Non-Smoker
1239,Smoker
1240,Non-Smoker
1241,Non-Smoker
1242,Non-Smoker
1243,Non-Smoker
1244,Non-Smoker
1245,Non-Smoker
1246,Non-Smoker
1247,Non-Smoker
1248,Non-Smoker
1249,Smoker
1250,Non-Smoker
1251,Non-Smoker
1252,Non-Smoker
1253,Non-Smoker
1254,Smoker
1255,Non-Smoker
1256,Non-Smoker
1257,Non-Smoker
1258,Non-Smoker
1259,Non-Smoker
1260,Non-Smoker
1261,Non-Smoker
1262,Non-Smoker
1263,Non-Smoker
1264,Non-Smoker
1265,Non-Smoker
1266,Non-Smoker
1267,Non-Smoker
1268,Smoker
1269,Non-Smoker
1270,Non-Smoker
1271,Non-Smoker
1272,Non-Smoker
1273,Non-Smoker
1274,Non-Smoker
1275,Non-Smoker
1276,Non-Smoker
1277,Non-Smoker
1278,Non-Smoker
1279,Smoker
1280,Non-Smoker
1281,Non-Smoker
1282,Non-Smoker
1283,Non-Smoker
1284,Non-Smoker
1285,Non-Smoker
1286,Non-Smoker
1287,Non-Smoker
1288,Non-Smoker
1289,Non-Smoker
1290,Non-Smoker
1291,Non-Smoker
1292,Non-Smoker
1293,Non-Smoker
1294,Smoker
1295,Non-Smoker
1296,Non-Smoker
1297,Smoker
1298,Non-Smoker
1299,Non-Smoker
1300,Non-Smoker
1301,Non-Smoker
1302,Non-Smoker
1303,Non-Smoker
1304,Non-Smoker
1305,Non-Smoker
1306,Smoker
1307,Non-Smoker
1308,Smoker
1309,Smoker
1310,Smoker
1311,Non-Smoker
1312,Non-Smoker
1313,Non-Smoker
1314,Smoker
1315,Non-Smoker
1316,Non-Smoker
1317,Non-Smoker
1318,Non-Smoker
1319,Smoker
1320,Non-Smoker
1321,Non-Smoker
1322,Non-Smoker
1323,Smoker
1324,Non-Smoker
1325,Non-Smoker
1326,Non-Smoker
1327,Non-Smoker
1328,Non-Smoker
1329,Non-Smoker
1330,Non-Smoker
1331,Non-Smoker
1332,Smoker
1333,Non-Smoker
1334,Non-Smoker
1335,Non-Smoker
1336,Smoker
1337,Non-Smoker
1338,Non-Smoker
1339,Smoker
1340,Non-Smoker
1341,Non-Smoker
1342,Non-Smoker
1343,Non-Smoker
1344,Non-Smoker
1345,Non-Smoker
1346,Non-Smoker
1347,Non-Smoker
1348,Non-Smoker
1349,Non-Smoker
1350,Non-Smoker
1351,Non-Smoker
1352,Non-Smoker
1353,Non-Smoker
1354,Non-Smoker
1355,Non-Smoker
1356,Non-Smoker
1357,Non-Smoker
1358,Non-Smoker
1359,Non-Smoker
1360,Non-Smoker
1361,Non-Smoker
1362,Non-Smoker
1363,Non-Smoker
1364,Non-Smoker
1365,Non-Smoker
1366,Non-Smoker
1367,Non-Smoker
1368,Non-Smoker
1369,Non-Smoker
1370,Non-Smoker
1371,Non-Smoker
1372,Non-Smoker
1373,Smoker
1374,Non-Smoker
1375,Non-Smoker
1376,Non-Smoker
1377,Smoker
1378,Non-Smoker
1379,Non-Smoker
1380,Non-Smoker
1381,Non-Smoker
1382,Non-Smoker
1383,Non-Smoker
1384,Non-Smoker
1385,Non-Smoker
1386,Smoker
1387,Non-Smoker
1388,Non-Smoker
1389,Non-Smoker
1390,Non-Smoker
1391,Non-Smoker
1392,Non-Smoker
1393,Non-Smoker
1394,Non-Smoker
1395,Non-Smoker
1396,Non-Smoker
1397,Non-Smoker
1398,Non-Smoker
1399,Non-Smoker
1400,Non-Smoker
1401,Smoker
